100	FA01-生鮮冷藏冷凍牛肉	9080	502	5.50%	46	9.20%	
100	FA02-生鮮冷藏冷凍牛雜碎	2395	136	5.70%	4	2.90%	
100	FA09-其他已調製牛肉製品	27	4	14.80%	2	50.00%	
100	FA11-生鮮冷藏冷凍豬肉	2536	163	6.40%	10	6.10%	
100	FA12-生鮮冷藏冷凍豬肉雜碎	1439	75	5.20%	6	8.00%	
100	FA19-其他已調製豬肉製品	839	21	2.50%	4	19.00%	
100	FA21-生鮮冷藏冷凍家禽肉	2783	139	5.00%	2	1.40%	
100	FA99-其他已調製肉製品	943	26	2.80%	5	19.20%	
100	FB01-活生鮮冷藏魚產品	15509	1462	9.40%	3	0.20%	
100	FB01-活生鮮冷藏魚產品	10280	646	6.30%	4	0.60%	
100	FB91-其他活生鮮冷藏水產品	6889	788	11.40%	2	0.30%	
100	FB92-其他冷凍水產品	5498	406	7.40%	4	1.00%	
100	FB99-其他已調製水產品	2155	414	19.20%	18	4.30%	
100	FC01-食用花卉	3	1	33.30%	1	100.00%	
100	FC11-生鮮冷藏冷凍蔬菜	18556	1788	9.60%	34	1.90%	
100	FC13-乾蔬菜	2465	163	6.60%	2	1.20%	
100	FC21-生鮮冷藏冷凍水果	22122	2991	13.50%	42	1.40%	
100	FC32-茶類	6390	833	13.00%	10	1.20%	
100	FC33-藥食兩用	1107	118	10.70%	5	4.20%	
100	FC34-香辛料	2212	92	4.20%	12	13.00%	
100	FC35-米	763	762	99.90%	8	1.00%	
100	FC38-穀物雜糧製品	5211	184	3.50%	3	1.60%	
100	FC39-花生製品	1611	197	12.20%	4	2.00%	
100	FC40-乾果實	1735	70	4.00%	3	4.30%	
100	FC42-植物膠	2925	111	3.8	1	0.90%	
100	FD01-乳製品	17014	1307	7.7	2	0.20%	
100	FD02-食用油脂	5225	181	3.5	1	0.60%	
100	FD04-糖果、巧克力	23324	979	4.2	3	0.30%	
100	FD06-麵製品	8336	298	3.6	1	0.30%	
