id,title,description,url,class,provider,columns,frequency,updated,contact,contact_phone
1,基因改造食品原料資料集,由專家學者組成基因改造食品審查小組，對基因改造食品原料逐案嚴格審查。藉由本資料集可查詢審核通過之基因改造食品原料。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=1,食品,食品組,國際統一編號、產品類型、種類、品名、轉殖品系、申請者、核准日期、有效期限,每3個月,2016/07/30,李先生,02-2787-7331
2,基因改造食品原料英文資料集,"由專家學者組成基因改造食品審查小組，對基因改造食品原料逐案嚴格審查。藉由本資料集可查詢審核通過之基因改造食品原料(英文版)。 Current Approvals of Genetically Modified foods in Taiwan。",http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=2,食品,食品組,UNIQUE_IDENTIFIER、PRODUCT_TYPE、PRODUCT、NAME、EVENT、APPLICANT、DATE_OF_EXPIRATION、DATE_OF_APPROVAL,每3個月,2016/07/30,李先生,02-2787-7331
3,食品添加物許可證資料集,藉由本資料集可查詢經衛生福利部查驗登記核可之產品資料。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=3,食品,食品組,許可證字號、中文品名、英文品名、有效日期、申請商名稱、發證日期、申請商電話、劑型、用途、簽審文件、製造廠國別、成分、申請商地址、包裝量及單位,每3個月,2016/08/15,高先生,02-2787-7339
4,可供食品使用原料彙整一覽表,審核通過之可供食品使用原料彙整一覽表資料集，該一覽表係彙整經評估食用安全性之非傳統供食原料而成，以提供衛生單位管理及食品製售業者對產品自主管理之參考。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=4,食品,食品組,類別、中文名稱、外文名稱、學名、部位、備註、檔案下載、類別說明,不定期,2015/06/11,何小姐,02-2787-7379
6,中華民國廚師證書資料集,廚師證書及廚師相關資料資料集，為換發廚師證書，本資料集有當事人之工作地址、技術士證(中餐、西餐；乙級、丙級)。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=6,食品,食品組,工作地址、發證日期起、發證日期迄、職類等級、任職單位,不定期,2016/06/24,許先生,02-2787-7367
7,優良廚師資料集,衛生福利部食品藥物管理署為宣導持證廚師再教育並表揚我國優秀餐飲從業廚師，特設立此「TFDA優良廚師」表揚活動。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=7,食品,食品組,年度、季別、優良事蹟、公告日期、編號、姓名,不定期,2016/06/16,許先生,02-2787-7367
8,衛生講習課程資料集,各公工會及教育機關辦理廚證衛生講習課程資料集，提供我國衛生講習課程開課及報名相關資訊。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=8,食品,食品組,講習類別、講習開始日期、講習結束日期、講習時數、參加對象、招收人數、講習縣市、報名方式、講習地點、報名類別、報名開始日期、報名結束日期、報名地點、承辦單位、承辦人、連絡電話、承辦人Email、核備單位、核備文號、核備日期、備註說明、會員講習費用、非會員講習費用、課程名稱、時數、講師姓名、上課時間,不定期,2016/08/28,許先生,02-2787-7367
9,HACCP課程資料集,各公工會及教育機關辦理HACCP課程資料集，提供我國HACCP課程開課及報名相關資訊。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=9,食品,食品組,講習類別、講習開始日期、講習結束日期、講習時數、參加對象、招收人數、講習縣市、報名方式、講習地點、報名類別、報名開始日期、報名結束日期、報名地點、承辦單位、承辦人、連絡電話、承辦人Email、核備單位、核備文號、核備日期、備註說明、會員講習費用、非會員講習費用、課程名稱、時數、講師姓名、上課時間,不定期,2016/08/27,許先生,02-2787-7367
10,餐飲業優良業者名單資料集,本署為鼓勵符合「食品良好衛生規範（GHP）」之優良餐飲業，繼續維持GHP規範、做好衛生自我管理，以提升餐飲衛生安全，並提供消費者選擇參考，自99年起實施餐飲衛生分級評核制度，由各地方衛生人員、專家學者組成評核小組，對餐飲業者之作業場所、設施及品保制度之管理進行評核。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=10,食品,食品組,年度、餐飲業別、業者名稱、營業地址、等級,不定期,2014/10/03,林小姐,02-2787-7362
11,嬰兒配方食品及較大嬰兒配方輔助食品資料集,審核通過之嬰兒配方食品及較大嬰兒配方輔助食品資料集，讓民眾查詢衛生福利部查驗登記許可之嬰兒奶粉清單。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=11,食品,食品組,核備函字號、類別、中文名稱、英文名稱、同一配方品牌、發證日期、有效日期、申請商名稱、申請商電話、申請商地址、劑型、包裝規格、成分、產地、簽審文件編號,每月,2016/08/11,陳先生/小姐,02-2787-7372
12,動物用藥殘留標準資料集,正面表列規定動物用藥殘留標準，該標準係依據科學證據，風險評估原則及配合前端農政機關之核准用藥情形所訂定，以作為行政裁量之管制標準，提供各界查閱遵循。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=12,食品,食品組,學名、中文名稱、殘留部位、動物種類、殘留容許量ppm,不定期,2015/01/26,許小姐,02-2787-7313
13,農藥殘留容許量標準_農藥殘留容許量標準,正面表列規定農藥殘留容許量標準。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=13,食品,食品組,國際普通名稱、普通名稱、作物類別、容許量ppm、備註,不定期,2016/08/05,汪小姐,02-2787-7314
14,農藥殘留容許量標準_得免訂定容許量之農藥一覽表,正面表列得免訂定容許量之農藥。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=14,食品,食品組,農藥名稱、英文名稱,不定期,2014/06/20,汪小姐,02-2787-7314
15,農藥殘留容許量標準_公告禁用農藥一覽表,正面表列規定公告禁用農藥。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=15,食品,食品組,農藥名稱、英文名稱、禁止製造或輸入日期、禁止銷售或使用日期,不定期,2014/06/13,汪小姐,02-2787-7314
16,農藥殘留容許量標準_農作物類農產品之分類表,表列適用於農藥殘留容許量標準之農作物類農產品之分類表。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=16,食品,食品組,類別、農作物類農產品,不定期,2016/08/05,汪小姐,02-2787-7314
